n_taxon;regne;genre;espece;sous_espece;variete_cultivar_ou_provenance;clone_ou_accession
4055;Plantae;Achillea;millefolium;NA;NA;NA
4056;Plantae;Achillea;ptarmica;NA;NA;NA
4058;Plantae;Aconitum;napellus;NA;NA;NA
4060;Plantae;Adonis;flammea;NA;NA;NA
4067;Plantae;Agrimonia;eupatoria;NA;NA;NA
4069;Plantae;Agrostemma;githago;NA;NA;NA
4074;Plantae;Ajuga;reptans;NA;NA;NA
4076;Plantae;Alisma;plantago-aquatica;NA;NA;NA
4078;Plantae;Alliaria;petiolata;NA;NA;NA
4080;Plantae;Allium;moly;NA;NA;NA
4089;Plantae;Alopecurus;geniculatus;NA;NA;NA
4090;Plantae;Alopecurus;pratensis;NA;NA;NA
4092;Plantae;Althaea;officinalis;NA;NA;NA
4094;Plantae;Amaranthus;retroflexus;NA;NA;NA
4096;Plantae;Ambrosia;sp.;NA;NA;NA
4100;Plantae;Anagyris;foetida;NA;NA;NA
7603;Plantae;Anchusa;azurea;NA;NA;NA
4107;Plantae;Anthemis;arvensis;NA;NA;NA
4109;Plantae;Anthriscus;sylvestris;NA;NA;NA
4111;Plantae;Antirrhinum;majus;NA;NA;NA
4113;Plantae;Aquilegia;vulgaris;NA;NA;NA
4115;Plantae;Arabis;caucasica;NA;NA;NA
4119;Plantae;Arctium;lappa;NA;NA;NA
7594;Plantae;Argentina;anserina;NA;NA;NA
4121;Plantae;Aristolochia;clematitis;NA;NA;NA
4122;Plantae;Aristolochia;macrophylla;NA;NA;NA
4124;Plantae;Armeria;maritima;NA;NA;NA
4126;Plantae;Artemisia;vulgaris;NA;NA;NA
4128;Plantae;Arum;italicum;NA;NA;NA
4129;Plantae;Arum;maculatum;NA;NA;NA
4131;Plantae;Asparagus;sp.;NA;NA;NA
4133;Plantae;Asphodelus;sp.;NA;NA;NA
4137;Plantae;Atraphaxis;frutescens;NA;NA;NA
7585;Plantae;Atropa;bella-donna;NA;NA;NA
4141;Plantae;Aubrieta;deltoidea;NA;NA;NA
4144;Plantae;Aurinia;saxatilis;saxatilis;NA;NA
4146;Plantae;Avena;sativa;NA;NA;NA
4149;Plantae;Avenula;pubescens;pubescens;NA;NA
4151;Plantae;Bellis;perennis;NA;NA;NA
4153;Plantae;Berberis;vulgaris;NA;NA;NA
4155;Plantae;Bergenia;crassifolia;NA;NA;NA
4162;Plantae;Bidens;tripartita;NA;NA;NA
4164;Plantae;Briza;media;NA;NA;NA
7639;Plantae;Bromopsis;erecta;NA;NA;NA
4168;Plantae;Bryonia;dioica;NA;NA;NA
7644;Plantae;Buglossoides;arvensis;NA;NA;NA
4172;Plantae;Butomus;umbellatus;NA;NA;NA
4178;Plantae;Calendula;officinalis;NA;NA;NA
4180;Plantae;Caltha;palustris;NA;NA;NA
4182;Plantae;Calycanthus;occidentalis;NA;NA;NA
4187;Plantae;Campanula;persicifolia;NA;NA;NA
4188;Plantae;Campanula;pyramidalis;NA;NA;NA
4189;Plantae;Campanula;rapunculus;NA;NA;NA
4190;Plantae;Campanula;rotundifolia;NA;NA;NA
4192;Plantae;Campsis;radicans;NA;NA;NA
4194;Plantae;Cannabis;sativa;NA;NA;NA
4196;Plantae;Capsella;bursa-pastoris;NA;NA;NA
4199;Plantae;Caragana;microphylla;NA;NA;NA
4200;Plantae;Caragana;sp.;NA;NA;NA
4202;Plantae;Cardamine;hirsuta;NA;NA;NA
4203;Plantae;Cardamine;pratensis;NA;NA;NA
4205;Plantae;Carduus;nutans;NA;NA;NA
4210;Plantae;Carthamus;lanatus;NA;NA;NA
4222;Plantae;Centaurea;calcitrapa;NA;NA;NA
7614;Plantae;Centaurium;erythraea;NA;erythraea;NA
4227;Plantae;Centaurium;pulchellum;NA;NA;NA
4231;Plantae;Centranthus;ruber;ruber;NA;NA
4233;Plantae;Cephalaria;alpina;NA;NA;NA
4234;Plantae;Cephalaria;gigantea;NA;NA;NA
7647;Plantae;Cephalotaxus;harringtonia;NA;NA;NA
4238;Plantae;Cerastium;arvense;NA;NA;NA
4239;Plantae;Cerastium;tomentosum;NA;NA;NA
4243;Plantae;Chaenomeles;japonica;NA;NA;NA
