n_du_site;latitude_du_site;longitude_du_site;altitude_du_site;altitude_du_site_ign;nom_du_site;commune;departement;region;pays;numero_de_maille_drias;numero_de_maille_safran
4948;44.5667;6.0833;748;767;gap;Gap;Hautes-Alpes;Provence-Alpes-Côte d'Azur;France;6254;7650
4951;44.3667;2.6833;652;603;agen;Agen-d'Aveyron;Aveyron;Occitanie;France;5648;7945
4957;45.5167;3.5333;1048;994;aix-en-provence;Aix-la-Fayette;Puy-de-Dôme;Auvergne-Rhône-Alpes;France;7944;6642
4960;49.9;2.3;24;25;amiens;Amiens;Somme;Hauts-de-France;France;16655;371
4965;47.4667;-0.55;41;46;angers;Angers;Maine-et-Loire;Pays de la Loire;France;11909;3784
4968;45.9;6.1167;469;448;annecy;Annecy;Haute-Savoie;Auvergne-Rhône-Alpes;France;8827;6183
4969;46.2;6.25;481;445;annemasse;Ville-la-Grand;Haute-Savoie;Auvergne-Rhône-Alpes;France;9400;5828
4970;48.767;6.28;336;303;arboretum d'amance;Bouxières-aux-Chênes;Meurthe-et-Moselle;Grand Est;France;14547;1600
4972;47.85;2.75;150;126;arboretum national des barres;Nogent-sur-Vernisson;Loiret;Centre-Val de Loire;France;12512;3321
4980;42.9;0.37;730;739;arreau;Jézeau;Hautes-Pyrénées;Occitanie;France;2764;9519
4983;44.9167;2.45;619;660;aurillac;Aurillac;Cantal;Auvergne-Rhône-Alpes;France;6790;7282
4985;47.8;3.57;150;120;auxerre;Auxerre;Yonne;Bourgogne-Franche-Comté;France;12520;3329
4986;43.95;4.8167;20;19;avignon;Avignon;Vaucluse;Provence-Alpes-Côte d'Azur;France;4954;8416
4989;49.52;4.77;215;186;bairon-le chesne;Bairon et ses environs;Ardennes;Grand Est;France;15963;686
4993;45.07;3.9;630;622;bassin du puy en velay;Le Monteil;Haute-Loire;Auvergne-Rhône-Alpes;France;7090;7136
4994;50.0;5.717;520;NA;bastogne;Bastogne;Bastogne;Luxembourg;Belgique;NA;NA
4998;49.43;2.08;71;66;beauvais;Beauvais;Oise;Hauts-de-France;France;15652;813
5002;47.25;6.0333;334;275;besançon;Besançon;Doubs;Bourgogne-Franche-Comté;France;11542;4205
5005;49.16;2.96;95;131;betz;Betz;Oise;Hauts-de-France;France;15231;1078
5011;46.23;3.43;220;275;billy;Billy;Allier;Auvergne-Rhône-Alpes;France;9373;5801
5012;50.617;4.65;149;NA;blanmont;Chastre;Nivelles;Brabant wallon;Belgique;NA;NA
5016;44.8333;-0.5667;4;10;bordeaux;Bordeaux;Gironde;Nouvelle-Aquitaine;France;6617;7335
5022;47.95;5.75;282;272;bourbonne;Bourbonne-les-Bains;Haute-Marne;Grand Est;France;12969;2962
5024;46.2;5.2167;232;240;bourg-en-bresse;Bourg-en-Bresse;Ain;Auvergne-Rhône-Alpes;France;9390;5818
5025;45.5833;5.2833;327;289;bourgoin-jallieu;Bourgoin-Jallieu;Isère;Auvergne-Rhône-Alpes;France;8247;6497
5026;49.63;2.3;85;79;breteuil;Breteuil;Oise;Hauts-de-France;France;16083;594
5029;46.18;3.28;314;303;brout vernet;Broût-Vernet;Allier;Auvergne-Rhône-Alpes;France;9229;5889
5037;44.05;2.15;241;240;carmaux;Carmaux;Tarn;Occitanie;France;5071;8298
5040;43.3;0.5;367;300;castelnau magnoac;Castelnau-Magnoac;Hautes-Pyrénées;Occitanie;France;3481;9243
5041;43.6;2.25;180;181;castres;Castres;Tarn;Occitanie;France;4071;8930
5043;46.62;2.83;294;326;cerilly;Cérilly;Allier;Auvergne-Rhône-Alpes;France;10082;5319
5044;47.82;3.8;160;131;chablis;Chablis;Yonne;Bourgogne-Franche-Comté;France;12522;3331
5048;46.23;3.15;330;312;chantelle;Chantelle;Allier;Auvergne-Rhône-Alpes;France;9370;5798
5049;46.68;-1.05;66;59;chantonnay;Chantonnay;Vendée;Pays de la Loire;France;10331;5064
5053;48.03;4.92;235;230;chäteauvillain;Châteauvillain;Haute-Marne;Grand Est;France;12962;2955
5054;48.48;5.12;225;198;chatonrupt;Chatonrupt-Sommermont;Haute-Marne;Grand Est;France;13964;2075
5061;47.0667;-0.8833;110;116;cholet;Cholet;Maine-et-Loire;Pays de la Loire;France;11048;4489
5095;42.52;3.08;85;39;collioure;Collioure;Pyrénées-Orientales;Occitanie;France;1934;9762
5097;46.28;2.75;391;373;commentry;Commentry;Allier;Auvergne-Rhône-Alpes;France;9509;5702
5101;44.05;1.95;180;227;cordes;Cordes-sur-Ciel;Tarn;Occitanie;France;5069;8296
5102;49.53;3.33;75;76;coucy-le-château;Coucy-le-Château-Auffrique;Aisne;Hauts-de-France;France;15949;672
5114;47.32;5.02;258;238;dijon;Dijon;Côte-d'Or;Bourgogne-Franche-Comté;France;11676;4079
5115;48.08;3.55;230;237;dilo;Arces-Dilo;Yonne;Bourgogne-Franche-Comté;France;13092;2811
5116;50.267;4.917;199;NA;dinant;Bouvignes-sur-Meuse;Dinant;Namur;Belgique;NA;NA
5119;47.85;2.75;150;126;domaine des barres;Nogent-sur-Vernisson;Loiret;Centre-Val de Loire;France;12512;3321
5121;46.52;3.68;234;233;dompierre;Dompierre-sur-Besbre;Allier;Auvergne-Rhône-Alpes;France;9947;5428
5147;48.167;6.467;370;401;epinal;Épinal;Vosges;Grand Est;France;13405;2581
5148;48.3;-0.93;130;148;ernée;Ernée;Mayenne;Pays de la Loire;France;13479;2385
5198;50.567;4.683;148;NA;gembloux;Gembloux;Gembloux;Namur;Belgique;NA;NA
5199;50.717;4.483;81;NA;genval;La Hulpe;Nivelles;Brabant wallon;Belgique;NA;NA
5205;46.5;3.07;340;355;gipcy;Gipcy;Allier;Auvergne-Rhône-Alpes;France;9942;5423
5212;47.88;-0.52;87;79;grez en bouère;Grez-en-Bouère;Mayenne;Pays de la Loire;France;12625;3165
5244;48.03;5.45;401;387;is en basigny;Is-en-Bassigny;Haute-Marne;Grand Est;France;13110;2829
5250;50.717;5.533;145;NA;juprelle;Villers-Saint-Siméon;Juprelle;Liège;Belgique;NA;NA
5253;47.44;-0.425;21;17;la baumette;Loire-Authion;Maine-et-Loire;Pays de la Loire;France;11767;3907
5254;48.18;4.98;340;305;la chapelle en blaisy;Juzennecourt;Haute-Marne;Grand Est;France;13248;2697
5256;47.6;3.17;225;263;la forge;Moutiers-en-Puisaye;Yonne;Bourgogne-Franche-Comté;France;12087;3698
5267;43.13;0.38;610;545;lannemezan;Lannemezan;Hautes-Pyrénées;Occitanie;France;3194;9374
5268;43.37;-1.43;60;26;larressore;Larressore;Pyrénées-Atlantiques;Nouvelle-Aquitaine;France;3747;9066
5277;45.07;3.9;715;622;le puy-chadrac;Le Monteil;Haute-Loire;Auvergne-Rhône-Alpes;France;7090;7136
