n_du_site;latitude_du_site;longitude_du_site;altitude_du_site;altitude_du_site_ign;nom_du_site;commune;departement;region;pays;numero_de_maille_drias;numero_de_maille_safran
38694;43.9376;4.87604;29;28;avignon-anglic-grimoard;Avignon;Vaucluse;Provence-Alpes-Côte d'Azur;France;4955;8417
38880;43.9656;4.85741;24;23;le-pontet-pont-voie-ferree;Le Pontet;Vaucluse;Provence-Alpes-Côte d'Azur;France;4955;8417
38886;43.8662;6.02051;266;626;barjols-barjols;Valensole;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;France;4824;8520
38898;48.289;6.95206;350;351;saint-die-des-vosges-parc-eveche-st-die;Saint-Dié-des-Vosges;Vosges;Grand Est;France;13695;2336
38900;43.6331;3.2254;451;445;carlencas-et-levas-carlencas-belvedere;Carlencas-et-Levas;Hérault;Occitanie;France;4223;8850
38901;43.6173;3.88265;26;23;montpellier-foret-jardin-bozarbres;Montpellier;Hérault;Occitanie;France;4230;8857
38904;43.82;4.37188;29;32;nimes-bois-des-noyers;Nîmes;Gard;Occitanie;France;4664;8594
38907;46.5071;2.71146;196;205;herisson-platanes-riviere;Hérisson;Allier;Auvergne-Rhône-Alpes;France;9938;5419
38909;48.8264;2.30078;62;63;paris-ecole-brancion;Paris;Paris;Île-de-France;France;14510;1563
38910;48.8437;2.29798;40;33;paris-ecole-mademoiselle;Paris;Paris;Île-de-France;France;14510;1563
103481;43.4737;5.41979;191;177;aix-en-provence-ibs-of-provence;Aix-en-Provence;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;France;3960;9048
151061;49.1802;-0.3734;9;6;caen-jardin-du-musee-dinitiation-a-la-nature;Caen;Calvados;Normandie;France;15201;1048
156829;42.5017;3.12207;6;4;port-vendres-anse-de-paulilles;Port-Vendres;Pyrénées-Orientales;Occitanie;France;NA;NA
156831;50.6393;3.1793;24;23;villeneuve-dascq-ferme-du-heron;Villeneuve-d'Ascq;Nord;Hauts-de-France;France;18093;95
164778;47.4585;-0.55007;39;38;angers-parc-du-pin;Angers;Maine-et-Loire;Pays de la Loire;France;11909;3784
209636;48.6229;-3.86176;46;37;locquenole-le-verger-des-ecuries;Locquénolé;Finistère;Bretagne;France;14310;1628
215008;47.1739;-1.51529;24;23;vertou-periph-nantes;Vertou;Loire-Atlantique;Pays de la Loire;France;11328;4251
227438;43.0698;0.14638;542;538;bagneres-de-bigorre-college-blanche-odin-eco-delegue-es;Bagnères-de-Bigorre;Hautes-Pyrénées;Occitanie;France;3048;9427
233598;43.0698;0.14638;542;538;bagneres-de-bigorre-nicol-monlezun-tom-le-bg;Bagnères-de-Bigorre;Hautes-Pyrénées;Occitanie;France;3048;9427
