n_taxon;regne;genre;espece;sous_espece;variete_cultivar_ou_provenance;clone_ou_accession
5090;Animalia;Apus;apus;NA;NA;NA
5073;Animalia;Bufo;bufo;NA;NA;NA
8780;Animalia;Charaxes;jasius;NA;NA;NA
7747;Animalia;Cicada;orni;NA;NA;NA
8794;Animalia;Clathrus;ruber;NA;NA;NA
5094;Animalia;Coccinella;sp.;NA;NA;NA
7743;Animalia;Coracias;garrulus;NA;NA;NA
5084;Animalia;Cuculus;canorus;NA;NA;NA
5086;Animalia;Delichon;urbica;NA;NA;NA
7698;Animalia;Gonepteryx;cleopatra;NA;NA;NA
5092;Animalia;Gonepteryx;rhamni;NA;NA;NA
5103;Animalia;Himantopus;himantopus;NA;NA;NA
5088;Animalia;Hirundo;rustica;NA;NA;NA
7697;Animalia;Hyla;meridionalis;NA;NA;NA
5069;Animalia;Lacerta;bilineata;NA;NA;NA
5099;Animalia;Luscinia;megarhynchos;NA;NA;NA
5063;Animalia;Malpolon;monspessulanus;NA;NA;NA
5097;Animalia;Merops;apiaster;NA;NA;NA
5101;Animalia;Milvus;migrans;NA;NA;NA
5061;Animalia;Natrix;natrix;NA;NA;NA
7704;Animalia;Otus;scops;NA;NA;NA
5067;Animalia;Podarcis;muralis;NA;NA;NA
5071;Animalia;Salamandra;salamandra;NA;NA;NA
5065;Animalia;Tarentola;mauretanica;NA;NA;NA
7702;Animalia;Thaumetopoea;pityocampa;NA;NA;NA
7700;Animalia;Upupa;epops;NA;NA;NA
4033;Plantae;Abies;alba;NA;NA;NA
4063;Plantae;Aesculus;hippocastanum;NA;NA;NA
4117;Plantae;Arbutus;unedo;NA;NA;NA
5075;Plantae;Astragalus;tragacantha;NA;NA;NA
4158;Plantae;Betula;pendula;NA;NA;NA
4213;Plantae;Castanea;sativa;NA;NA;NA
5048;Plantae;Celtis;australis;NA;NA;NA
5042;Plantae;Cephalanthera;longifolia;NA;NA;NA
4241;Plantae;Cercis;siliquastrum;NA;NA;NA
5077;Plantae;Cistus;albidus;NA;NA;NA
8778;Plantae;Cistus;monspeliensis;NA;NA;NA
5079;Plantae;Colchicum;autumnale;NA;NA;NA
4267;Plantae;Convallaria;majalis;NA;NA;NA
4280;Plantae;Corylus;avellana;NA;NA;NA
5038;Plantae;Dactylorhiza;sambucina;NA;NA;NA
4370;Plantae;Fagus;sylvatica;NA;NA;NA
5058;Plantae;Forsythia;intermedia;NA;NA;NA
4387;Plantae;Fraxinus;excelsior;NA;NA;NA
4396;Plantae;Galanthus;nivalis;NA;NA;NA
5040;Plantae;Himantoglossum;hircinum;NA;NA;NA
5043;Plantae;Himantoglossum;robertianum;NA;NA;NA
4496;Plantae;Juglans;regia;NA;NA;NA
4516;Plantae;Larix;decidua;NA;NA;NA
5078;Plantae;Lavandula;intermedia;NA;NA;NA
4577;Plantae;Malus;domestica;NA;NA;NA
5055;Plantae;Malus;pumila;NA;cox orange pippin;NA
5053;Plantae;Malus;pumila;NA;golden delicious;NA
5054;Plantae;Malus;pumila;NA;reine de reinette;NA
5095;Plantae;Malva;sylvestris;NA;NA;NA
4662;Plantae;Papaver;rhoeas;NA;NA;NA
7745;Plantae;Parietaria;judaica;NA;NA;NA
4684;Plantae;Picea;abies;NA;NA;NA
5080;Plantae;Platanus;acerifolia;NA;NA;NA
5081;Plantae;Populus;nigra;NA;italica Münchh;NA
4746;Plantae;Primula;veris;NA;NA;NA
4753;Plantae;Prunus;armeniaca;NA;NA;NA
5057;Plantae;Prunus;armeniaca;NA;bergeron;NA
5056;Plantae;Prunus;armeniaca;NA;rouge du Roussillon;NA
4754;Plantae;Prunus;avium;NA;NA;NA
5049;Plantae;Prunus;avium;NA;burlat;NA
5050;Plantae;Prunus;cerasus;NA;griotte de Montmorency;NA
4758;Plantae;Prunus;domestica;NA;NA;NA
5046;Plantae;Prunus;domestica;NA;mirabelle de Nancy;NA
5045;Plantae;Prunus;domestica;NA;quetsche;NA
4759;Plantae;Prunus;dulcis;NA;NA;NA
6158;Plantae;Prunus;dulcis;NA;aï;NA
5051;Plantae;Prunus;dulcis;NA;princesse;NA
4781;Plantae;Pyrus;communis;NA;NA;NA
5044;Plantae;Pyrus;communis;NA;Williams;NA
4788;Plantae;Quercus;ilex;NA;NA;NA
4797;Plantae;Quercus;pubescens;NA;NA;NA
4833;Plantae;Robinia;pseudoacacia;NA;NA;NA
4857;Plantae;Sambucus;nigra;NA;NA;NA
4916;Plantae;Sorbus;aucuparia;NA;NA;NA
4917;Plantae;Sorbus;domestica;NA;NA;NA
4923;Plantae;Spartium;junceum;NA;NA;NA
4942;Plantae;Syringa;vulgaris;NA;NA;NA
5082;Plantae;Taraxacum;officinale;NA;NA;NA
4962;Plantae;Thymus;vulgaris;NA;NA;NA
4980;Plantae;Tussilago;farfara;NA;NA;NA
5009;Plantae;Viburnum;tinus;NA;NA;NA
