n_du_site;latitude_du_site;longitude_du_site;altitude_du_site;altitude_du_site_ign;nom_du_site;commune;departement;region;pays;numero_de_maille_drias;numero_de_maille_safran
172089;45.85218;6.61069;1040;1085;abelie;Megève;Haute-Savoie;Auvergne-Rhône-Alpes;France;8832;6188
172090;46.00981;6.53158;1000;1004;absinthe;Le Reposoir;Haute-Savoie;Auvergne-Rhône-Alpes;France;9117;6011
172091;45.8803;6.718612;880;905;Au pied du Mont Blanc;Saint-Gervais-les-Bains;Haute-Savoie;Auvergne-Rhône-Alpes;France;8833;6189
172092;46.3895;6.6979;925;923;accenteur;Thollon-les-Mémises;Haute-Savoie;Auvergne-Rhône-Alpes;France;9833;5553
172093;45.88239;6.020669;505;504;Domicile particulier;Chavanod;Haute-Savoie;Auvergne-Rhône-Alpes;France;8826;6182
172094;44.97859;5.48042;1356;1343;aceracee;La Chapelle-en-Vercors;Drôme;Auvergne-Rhône-Alpes;France;6963;7231
172095;43.064857;0.831517;NA;389;christian sallaber- école de GANTIES;Ganties;Haute-Garonne;Occitanie;France;3055;9434
172096;45.46181;6.53899;682;569;ache;Les Belleville;Savoie;Auvergne-Rhône-Alpes;France;7974;6672
172097;45.9774;6.18192;690;690;aconit;Fillière;Haute-Savoie;Auvergne-Rhône-Alpes;France;8971;6098
172098;45.57662;6.78763;1770;1800;agrostide;Bourg-Saint-Maurice;Savoie;Auvergne-Rhône-Alpes;France;8262;6512
172099;45.124203;5.526638;1035;1029;Le Calvaire de Méaudre;Autrans-Méaudre en Vercors;Isère;Auvergne-Rhône-Alpes;France;7249;7074
172100;44.9312;6.713016;1880;1837;aigle;Montgenèvre;Hautes-Alpes;Provence-Alpes-Côte d'Azur;France;NA;NA
172101;44.556362;4.355747;NA;247;Servidal;Lachapelle-sous-Aubenas;Ardèche;Auvergne-Rhône-Alpes;France;6094;7715
172102;46.05349;6.63951;1100;1140;aigremoine;Arâches-la-Frasse;Haute-Savoie;Auvergne-Rhône-Alpes;France;9261;5921
172103;44.3891;5.47202;607;669;aigrette;Rosans;Hautes-Alpes;Provence-Alpes-Côte d'Azur;France;5819;7890
172104;44.42152;5.795288;730;740;airelle;Savournon;Hautes-Alpes;Provence-Alpes-Côte d'Azur;France;5965;7811
172105;44.838894;6.49327;1152;1144;alchemille;Vallouise-Pelvoux;Hautes-Alpes;Provence-Alpes-Côte d'Azur;France;6830;7322
172108;44.18465;5.278952;1400;1394;algue;Beaumont-du-Ventoux;Vaucluse;Provence-Alpes-Côte d'Azur;France;5388;8147
172109;45.90267;6.724051;1100;1092;Chemin du Maquis (Montfort);Passy;Haute-Savoie;Auvergne-Rhône-Alpes;France;8976;6103
172111;44.04337;6.596;1450;1479;alliaire;Thorame-Haute;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;France;5258;8251
172112;44.32984;6.392884;1280;1295;aloes;Seyne;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;France;5828;7899
172113;45.45462;6.690488;1250;1295;alouchier;Champagny-en-Vanoise;Savoie;Auvergne-Rhône-Alpes;France;7975;6673
172114;45.59958;7.816622;1000;NA;alouette;Pont-Saint-Martin;Pont-Saint-Martin;Vallée d'Aoste;Italie;NA;NA
172115;44.0953;6.929245;1683;1675;alpinia;Péone;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;France;5404;8163
172116;44.649296;5.56431;801;786;At home;Boulc;Drôme;Auvergne-Rhône-Alpes;France;6392;7563
172117;46.14118;6.07253;460;456;alysson;Saint-Julien-en-Genevois;Haute-Savoie;Auvergne-Rhône-Alpes;France;NA;NA
172118;46.04748;6.074483;580;588;amandier;Copponex;Haute-Savoie;Auvergne-Rhône-Alpes;France;9113;6007
172119;45.58292;6.198477;360;382;amanite;Fréterive;Savoie;Auvergne-Rhône-Alpes;France;8256;6506
172120;45.87808;6.718916;870;869;amelanchier;Saint-Gervais-les-Bains;Haute-Savoie;Auvergne-Rhône-Alpes;France;8833;6189
172121;44.38899;6.69769;1330;1330;anatines;Enchastrayes;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;France;5974;7820
172122;45.3976;3.611438;980;973;androsace;Doranges;Puy-de-Dôme;Auvergne-Rhône-Alpes;France;7659;6809
172124;45.55004;6.66838;780;748;anemone;La Plagne Tarentaise;Savoie;Auvergne-Rhône-Alpes;France;8261;6511
172125;43.34722;0.064821;NA;235;Ecole de Pujo;Pujo;Hautes-Pyrénées;Occitanie;France;3619;9161
172126;44.47666;5.02669;355;354;aneth;Roche-Saint-Secret-Béconne;Drôme;Auvergne-Rhône-Alpes;France;5957;7803
172127;42.462963;1.935678;1160;1217;Ecole Libre;Ur;Pyrénées-Orientales;Occitanie;France;1922;9750
172128;46.10982;6.07807;580;572;angelique;Feigères;Haute-Savoie;Auvergne-Rhône-Alpes;France;9256;5916
172129;45.38718;6.71596;1430;1423;anthemis;Pralognan-la-Vanoise;Savoie;Auvergne-Rhône-Alpes;France;7832;6756
172130;46.27726;7.39832;1103;NA;apollon;Ayent;Hérens;Valais;Suisse;NA;NA
172131;44.69925;6.037716;1060;1059;araucaria;Poligny;Hautes-Alpes;Provence-Alpes-Côte d'Azur;France;6539;7483
172132;46.740944;5.971118;778;769;Aux Combes;Lent;Jura;Bourgogne-Franche-Comté;France;10541;5018
172133;45.74991;3.033331;834;792;charade;Royat;Puy-de-Dôme;Auvergne-Rhône-Alpes;France;8368;6395
172134;42.98;0.766;578;608;Florise Ordronneau;Juzet-d'Izaut;Haute-Garonne;Occitanie;France;2911;9481
172135;45.78014;3.068377;394;391;chamaliere;Chamalières;Puy-de-Dôme;Auvergne-Rhône-Alpes;France;8512;6316
172136;46.743244;5.978301;760;738;Lent;Lent;Jura;Bourgogne-Franche-Comté;France;10541;5018
172137;45.73721;7.494006;540;NA;armoise;Fénis;Fénis;Vallée d'Aoste;Italie;NA;NA
172138;45.90503;6.64195;780;783;arnica;Domancy;Haute-Savoie;Auvergne-Rhône-Alpes;France;8975;6102
172139;46.625984;5.829281;NA;654;roze;Menétrux-en-Joux;Jura;Bourgogne-Franche-Comté;France;10254;5242
172140;45.56893;6.66759;947;1008;asarine;La Plagne Tarentaise;Savoie;Auvergne-Rhône-Alpes;France;8261;6511
