n_taxon;regne;genre;espece;sous_espece;variete_cultivar_ou_provenance;clone_ou_accession
4033;Plantae;Abies;alba;NA;NA;NA
4158;Plantae;Betula;pendula;NA;NA;NA
4159;Plantae;Betula;pubescens;NA;NA;NA
4280;Plantae;Corylus;avellana;NA;NA;NA
4370;Plantae;Fagus;sylvatica;NA;NA;NA
4387;Plantae;Fraxinus;excelsior;NA;NA;NA
4516;Plantae;Larix;decidua;NA;NA;NA
4684;Plantae;Picea;abies;NA;NA;NA
4700;Plantae;Pinus;sylvestris;NA;NA;NA
4746;Plantae;Primula;veris;NA;NA;NA
4916;Plantae;Sorbus;aucuparia;NA;NA;NA
4942;Plantae;Syringa;vulgaris;NA;NA;NA
4980;Plantae;Tussilago;farfara;NA;NA;NA
